task,week,place,position,start,end
Meeting,Mon,MeetingRoom,8,10:00,10:15
Deskwork,Mon,Office,1,11:00,12:00
Lunch,Mon,MeetingRoom,8,12:00,12:45
Break,Mon,MeetingRoom,8,15:00,15:15
Deskwork,Mon,Office,1,16:00,17:00
Deskwork,Tue,Office,1,11:00,12:00
Lunch,Tue,MeetingRoom,8,12:00,12:45
Break,Tue,MeetingRoom,8,15:00,15:15
Deskwork,Tue,Office,1,16:00,17:00
Deskwork,Wed,Office,1,11:00,12:00
Lunch,Wed,MeetingRoom,8,12:00,12:45
Break,Wed,MeetingRoom,8,15:00,15:15
Deskwork,Wed,MeetingRoom,1,16:00,17:00
Deskwork,Thu,Office,1,11:00,12:00
Lunch,Thu,MeetingRoom,8,12:00,12:45
Break,Thu,MeetingRoom,8,15:00,15:15
Deskwork,Thu,MeetingRoom,1,16:00,17:00
Deskwork,Fri,Office,1,11:00,12:00
Lunch,Fri,MeetingRoom,8,12:00,12:45
Break,Fri,MeetingRoom,8,15:00,15:15
Deskwork,Fri,Office,1,16:00,17:00
